Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-03-30,66.05,68.1,65.025,68.1,47755
2020-03-31,68.69,68.69,67.24,67.24,86192
2020-04-01,66.01,66.84375,65.025,66.78,96693
2020-04-02,68.3,69.08,68.3,69.08,21534
2020-04-03,68.86,70.11,68.86,70.11,81418
2020-04-06,71.28,71.28,70.27,70.27,71261
2020-04-07,70.27,70.27,66.83,66.83,92430
2020-04-08,67.32,68.65,67.32,68.65,30323
2020-04-09,69.8,69.8,68.53,68.53,71381
2020-04-14,69.84,69.84,68.94,68.94,50783
2020-04-15,69.29,69.29,67.97,67.97,263680
2020-04-16,68,68.92,68,68.92,31900
2020-04-17,70.76,70.76,69.82,69.82,70450
2020-04-20,70.01,70.01,68.49,68.49,96881
2020-04-21,69,69,66.78,66.78,743645
2020-04-22,66.42,66.84375,65.025,65.7,388953
2020-04-23,65.7,67.09,65.025,67.09,266320
2020-04-24,66.66,67.15,66.66,67.15,687118
2020-04-27,68.49,70.64,68.49,70.64,322325
2020-04-28,71.03,71.03,68.59,68.59,54855
2020-04-29,69.29,69.29,68.75,68.75,45844
2020-04-30,68.53,68.53,68.16,68.16,199686
2020-05-01,68.16,68.16,68.16,68.16,0
2020-05-04,66.56,68.38,65.025,68.38,18886
2020-05-05,68.75,69.92,68.75,69.92,39651
2020-05-06,70.64,71.85,70.64,71.85,40181
2020-05-07,72,72,71.87,71.87,23090
2020-05-08,72.62,73.94,72.62,73.94,18050
2020-05-11,73.49,73.49,72.75,72.75,45930
2020-05-12,72.28,72.28,69.9,69.9,83005
2020-05-13,69.53,69.53,69.25,69.25,113835
2020-05-14,68.92,69.08,68.92,69.08,73521
2020-05-15,69,69.1,69,69.1,237856
2020-05-18,68.61,68.61,67.48,67.48,112470
2020-05-19,67.89,67.89,66.7,66.7,164573
2020-05-20,65.76,69.14,65.025,69.14,288443
2020-05-21,68.49,69.37,68.49,69.37,342077
2020-05-22,68.84,70.13,68.84,70.13,329706
2020-05-25,70.88,72.16,70.88,72.16,214721
2020-05-26,72,72,69.21,69.21,96559
2020-05-27,69,69,65.025,66.56,154251
2020-05-28,66.81,68.24,66.81,68.24,109250
2020-05-29,68.41,69.43,68.41,69.43,246980
2020-06-01,70.99,70.99,70.52,70.52,33648
2020-06-02,70.01,70.05,70.01,70.05,600562
2020-06-03,70.4,70.4,69,69,36348
2020-06-04,68,68,67.87,67.87,84342
2020-06-05,68.34,68.34,65.025,66.6,74558
2020-06-08,67.5,67.5,66.91,66.91,39789
2020-06-09,67.2,67.28,67.2,67.28,53678
2020-06-10,67.38,68.43,67.38,68.43,60175
2020-06-11,68.32,68.32,67.81,67.81,68283
2020-06-12,67.5,67.5,67.34,67.34,100983
2020-06-15,66.4,66.91,65.025,66.91,51795
2020-06-16,67.63,68.16,67.63,68.16,70064
2020-06-17,68.57,68.8,68.57,68.8,51350
2020-06-18,68.63,68.63,67.85,67.85,199595
2020-06-19,68.69,68.69,67.36,67.36,310997
2020-06-22,69.18,69.18,68.75,68.75,331815
2020-06-23,68.9,69.23,68.9,69.23,20047
2020-06-24,68.06,69.92,68.06,69.92,48629
2020-06-25,69.27,69.64,69.27,69.64,198075
2020-06-26,69.7,70.4,69.7,70.4,159774
2020-06-29,69.7,70.42,69.7,70.42,385532
2020-06-30,70.01,73.23,70.01,73.23,299508
2020-07-01,73,76.67,73,76.67,342081
2020-07-02,76.43,76.43,76.12,76.12,310612
2020-07-03,75.4,78.7,75.4,78.7,84141
2020-07-06,78.99,78.99,78.11,78.11,3895145
2020-07-07,78.01,78.5,78.01,78.5,222901
2020-07-08,78.03,79.54,78.03,79.54,43331
2020-07-09,79.79,79.79,78.91,78.91,42442
2020-07-10,77.8,77.84,77.8,77.84,40527
2020-07-13,74.99,74.99,73.72,73.72,196423
2020-07-14,73.18,73.18,72.67,72.67,64606
2020-07-15,72.9,72.9,71.56,71.56,120461
2020-07-16,71.79,71.79,70.35,70.35,41998
2020-07-17,70.09,70.09,68.34,68.34,146234
2020-07-20,68.02,69.41,68.02,69.41,164226
2020-07-21,69.55,70.23,69.55,70.23,244659
2020-07-22,70.6,70.6,70.09,70.09,76977
2020-07-23,72.9,73,72.9,73,319786
2020-07-24,72.69,72.69,71.38,71.38,71346
2020-07-27,70.5,70.66,70.5,70.66,56592
2020-07-28,70.27,70.27,69.68,69.68,16723
2020-07-29,70.15,70.72,70.15,70.72,14892
2020-07-30,70.4,70.4,69.66,69.66,34508
2020-07-31,69.25,70.85,69.25,70.85,58995
2020-08-03,70.64,71.97,70.64,71.97,32943
2020-08-04,71.97,71.97,71.46,71.46,1005696
2020-08-05,71.61,71.61,70.35,70.35,195686
2020-08-06,70.01,70.01,69.72,69.72,32383
2020-08-07,69.74,69.86,69.74,69.86,27023
2020-08-10,69.39,69.39,68.16,68.16,59956
2020-08-11,68,68.82,68,68.82,30815
2020-08-12,68.75,68.75,68.57,68.57,44277
2020-08-13,68.49,69.88,68.49,69.88,41873
2020-08-14,69.39,69.39,69.31,69.31,64195
2020-08-17,69.27,69.27,68.96,68.96,35367
2020-08-18,68.59,68.94,68.59,68.94,22282
2020-08-19,69.04,69.84,69.04,69.84,97236
2020-08-20,69.8,69.8,69.02,69.02,30423
2020-08-21,69.18,69.68,69.18,69.68,527401
2020-08-24,70.01,70.01,69.06,69.06,32707
2020-08-25,69.23,69.23,68.38,68.38,62409
2020-08-26,68.47,69.64,68.47,69.64,30969
2020-08-27,69.66,69.66,69.57,69.57,36768
2020-08-28,69.51,69.51,68.26,68.26,18397
2020-08-31,68.78,69.16,68.78,69.16,17816
2020-09-01,68.55,69.68,68.55,69.68,20095
2020-09-02,70.19,70.31,70.19,70.31,15227
2020-09-03,70.64,70.64,67.65,67.65,52891
2020-09-04,67.3,67.3,65.025,65.49,64731
2020-09-07,66.01,67.58,65.025,67.58,34680
2020-09-08,68.02,68.02,67.26,67.26,517624
2020-09-09,67.54,69.43,67.54,69.43,29962
2020-09-10,69,70.37,69,70.37,20741
2020-09-11,70.01,74.17,70.01,74.17,275536
2020-09-14,73.39,73.66,73.39,73.66,24619
2020-09-15,74.6,74.6,74.13,74.13,43925
2020-09-16,73.8,73.8,72.59,72.59,27697
2020-09-17,71.83,72.14,71.83,72.14,14983
2020-09-18,72.3,72.43,72.3,72.43,35951
2020-09-21,72.34,72.71,72.34,72.71,56889
2020-09-22,72.77,74.09,72.77,74.09,24579
2020-09-23,73.6,74.78,73.6,74.78,11203
2020-09-24,74.01,74.05,74.01,74.05,24823
2020-09-25,75.5,76.67,75.5,76.67,31600
2020-09-28,76.59,76.59,76.18,76.18,32467
2020-09-29,76.36,76.36,76.26,76.26,76038
2020-09-30,75.77,77.45,75.77,77.45,24743
2020-10-01,78.01,79.07,78.01,79.07,58439
2020-10-02,78.68,79.2,78.68,79.2,77207
